,sample,FTIR_777,FTIR_808,FTIR_825,FTIR_841,FTIR_854,FTIR_875,FTIR_908,FTIR_972,FTIR_997,FTIR_1018,FTIR_1066,FTIR_1082,FTIR_1166,FTIR_1195,FTIR_1213,FTIR_1261,FTIR_1367,FTIR_1377,FTIR_1398,FTIR_1409,FTIR_1435,FTIR_1490,FTIR_1541,FTIR_1577,FTIR_1631,FTIR_1645,FTIR_1658,FTIR_1739,FTIR_1978,FTIR_2162,FTIR_2952,FTIR_2960,FTIR_3297
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007922404161174759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05195539739390932,0.0,0.0,0.0,0.125,0.0,0.12906329114382847,0.016101912942259412,0.12906317841684162,0.12541705992934754,0.16128259975862413,0.1746945872827224,0.02647714928522666,0.1258109383894665,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005282017717491284,0.003497445104508012,0.0,0.0,0.0,0.00884867255889133,0.0,0.007625869177989342,0.0,0.06027519340136778,0.04271134504417868,0.0,0.15278529776739838,0.05086678318883038,0.11697245698273523,0.05408859737546498,0.05300326022244327,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02504858064398003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006397931136152114,0.027032535283509757,0.038712559424033774,0.0,0.0523749722147553,0.0,0.0,0.0,0.0,0.12345434575626896,0.0,0.15522126788690122,0.0,0.048522333906019906,0.12653723990366741,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004876382933730407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05658069869784307,0.0,0.0,0.0,0.0,0.011197897872880159,0.0,0.014321234276059084,0.0,0.18799346852070672,0.0642327523659486,0.05601378351821743,0.1718992552425684,0.07799847301122231,0.008354203308369581,0.0,0.04183159760932182,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1030401970837468,0.0,0.0,0.0,0.0,0.06252011064416599,0.01154227050791667,0.04885992346678553,0.0,0.0,0.02219042738387206,0.0,0.12652352785900334,0.1393277384206328,0.005598189744133362,0.023804643287551972,0.0,0.0,0.07340897397152368,0.15073858914485996,0.0,0.0,0.0
5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04681450126195607,0.0,0.0,0.0,0.0,0.02312053637960292,0.016303017872810133,0.055731393327238726,0.0,0.0,0.0134255024715338,0.0,0.13590519757326402,0.05171643915326339,0.0,0.0,0.0,0.07723599690573663,0.03996095461100595,0.07821771327929401,0.0,0.0,0.0
6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02559973607752511,0.0,0.0,0.0,0.0,0.06010479497154164,0.010762714351284895,0.0,0.0,0.0,0.030034077196282438,0.0,0.008411251030076462,0.06205851518526175,0.0,0.0,0.0,0.0,0.08269490780944039,0.10321268335038668,0.0,0.0,0.0
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014477173657785948,0.0,0.0,0.0,0.061166567638210066,0.0,0.0,0.0034974451045084744,0.0,0.05206543823105137,0.026081644218947448,0.0,0.0,0.0,0.012454402686627434,0.0,0.008879297291873792,0.0,0.0,0.0,0.0,0.0,0.03873449352473433,0.14047094802231339,0.0,0.0,0.03791685169525972
8,9.0,0.0,0.0,0.0,0.0,0.0,0.014001168302634173,0.0,0.0,0.0,0.0,0.09638916276229419,0.0,0.0,0.0,0.0,0.09596853452452818,0.018244888151411297,0.026734561838229663,0.0,0.0,0.02788460383470069,0.0,0.021366956918782293,0.08779123536558504,0.0,0.0,0.0,0.08298415649879037,0.09396068635484554,0.0941479333150366,0.0,0.033095281806881365,0.0
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006891965610673485,0.0,0.019973198622973472,0.0,0.0,0.002797538220146625,0.0,0.0,0.023286563242318842,0.0,0.0,0.0,0.06374584381412744,0.002942590842491646,0.0,0.003497452366817387,0.0,0.12252367900376825,0.12386078964042375,0.09593317462336388,0.14406691313223863,0.09388338712058215,0.16530463879233714,0.0,0.0890785451717486,0.0
10,11.0,0.1564294914250688,0.0,0.04131096366064862,0.0,0.09203817499014937,0.0,0.1234481520669442,0.0,0.0,0.07328024893858955,0.0,0.05708532217418596,0.0,0.1419430411560569,0.12877984805328258,0.0,0.1524610578187074,0.0,0.08100973156404201,0.0,0.01497734960354156,0.15413690185725706,0.03240896274567198,0.0065828523800569765,0.0,0.022404568634638414,0.026761668627935154,0.1021671747895782,0.04918486388905213,0.1111374447875842,0.0,0.12027021385060603,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02067691086743632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035216868163209035,0.03196516676964516,0.043326896530088865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0645464852613551,0.07845048789246015,0.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003497574010497587,0.0,0.0,0.0,0.0,0.0,0.049092450119352954,0.0,0.0,0.0,0.0,0.002797196891299899,0.0,0.0013967585633577748,0.0,0.05461556466872124,0.12829352840446698,0.0,0.0902036287033333,0.04414500315037329,0.12749746797018074,0.0,0.02918212233147871,0.0
13,14.0,0.16490936482048407,0.0,0.031307333660762535,0.0,0.13931798395820055,0.0,0.13535614773674629,0.0,0.0,0.0,0.0,0.10148533185765583,0.0,0.15546366322978422,0.15017218503386479,0.06281488380492091,0.16310691458324647,0.0,0.07018706842431925,0.0,0.006298437957341737,0.1603192810245226,0.03165835851989661,0.0,0.02870638078001056,0.14277450936022018,0.0,0.1442805044669994,0.06085705709852706,0.1343083359785551,0.0,0.13709556515186136,0.0
14,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015771693386392442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012824842361150272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08402598962347413,0.125,0.010499927236592188,0.12677118072208995,0.07892929729966625,0.12406078874104147,0.0,0.0,0.0
