,sample,FTIR_777,FTIR_808,FTIR_825,FTIR_841,FTIR_854,FTIR_875,FTIR_908,FTIR_972,FTIR_997,FTIR_1018,FTIR_1066,FTIR_1082,FTIR_1166,FTIR_1195,FTIR_1213,FTIR_1261,FTIR_1367,FTIR_1377,FTIR_1398,FTIR_1409,FTIR_1435,FTIR_1490,FTIR_1541,FTIR_1577,FTIR_1631,FTIR_1645,FTIR_1658,FTIR_1739,FTIR_1978,FTIR_2162,FTIR_2952,FTIR_2960,FTIR_3297
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15122324636074347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36479895138930585,0.0,0.0,0.0,0.125,0.0,0.17961596046458292,0.016101912942259412,0.17961556466872097,0.21321988697965683,0.3081168057347633,0.4492035348308869,0.06860914104828748,0.6652282106249026,0.0,0.0,0.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007695138422224613,0.0034974451045080126,1.0,0.0,0.0,0.013297124127891575,0.0,0.009095859980232763,0.0,0.10292130349549931,0.042711345044178686,0.0,0.308105417850162,0.06371499547889681,0.2898837804606626,0.08262169723568602,0.08962038340616542,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2544598400794672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006397931136152114,0.21284508912308217,0.4673352968948214,0.0,0.07841912339583461,0.0,0.0,0.0,0.0,0.7158559139379201,0.0,0.4729633120510052,0.0,0.09201960758213083,0.6082069144175041,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00783063291102582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837026163767059,0.0,1.0,0.0,0.0,0.011197897872880159,0.0,0.0156735407156048,0.0,0.3489945991553857,0.10082359562510171,0.05601378351821744,0.2341447818815267,0.3607375117526961,0.9876452637552514,0.0,0.9064012871766591,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24297094613717912,0.0,0.0,0.0,0.0,0.07631946331664785,0.03709037953084213,0.8654764238333098,0.0,0.0,0.09590743347881585,0.0,0.688352184647449,0.5066087044678402,0.0055981897441333625,0.023804643287551976,0.0,0.0,0.2282619376982688,0.572458608240184,0.0,0.0,0.0
5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06401401729554784,0.0,0.0,0.0,0.0,0.030402103061544127,0.05919062405335472,0.3913083480321947,0.0,0.0,0.02079869899468677,0.0,0.3913171531623235,0.12882398002157977,0.0,0.0,0.0,0.11843330700774317,0.14322908612186752,0.8455018688404898,0.0,0.0,0.0
6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620180747617174,0.0,0.0,0.0,0.0,0.09086990862698556,0.020530491690022575,1.0,0.0,0.0,0.3460478603467238,0.0,0.9915887489699237,0.8496378728808871,0.0,0.0,0.0,0.0,0.315551534581678,0.836869358858999,0.0,0.0,0.0
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26606395332692084,0.0,0.0,0.0,0.3255888474111684,0.0,0.0,0.003497445104508475,0.0,0.12042371286417557,0.5006471047517351,0.0,0.0,0.0,0.04408906570139162,0.0,0.9880785634952424,0.0,0.0,1.0,0.0,0.0,0.0588132579864376,0.535326473132436,0.0,0.0,0.08961279148300327
8,9.0,0.0,0.0,0.0,0.0,0.0,0.014001168302634174,0.0,0.0,0.0,0.0,0.20514995070085792,0.0,0.0,0.0,0.0,0.5906384900528494,0.11481033927390705,0.9085511788494615,0.0,0.0,0.2926733854288403,0.0,0.9786330430812177,0.6995365771105876,0.0,0.0,0.0,0.19395357121259102,0.3479967902338371,0.873236093601606,0.0,0.03850226384167844,0.0
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011892831739940877,0.0,0.13231893390391336,0.0,0.0,0.002797538220146625,0.0,0.0,0.09240998837430478,0.0,1.0,0.0,0.091717332084165,0.004193897356183012,0.0,0.0034974523668173875,0.0,0.16000481873735226,0.14880464328755197,0.1456402404627461,0.313351585506924,0.30178040816208307,0.5745593528797898,0.0,0.6676657935052731,0.0
10,11.0,0.6896936781574906,0.0,0.13691718323257332,0.0,0.8835863149532088,0.0,0.7587780868179924,0.0,0.0,0.11078932268823594,0.0,0.9184431148995829,0.0,0.7282817610529458,0.7575332011056216,0.0,0.7008976495688252,1.0,0.2651404116067331,0.0,0.03981609766767514,0.6959181067193431,0.11761522113181327,0.00995233732290309,0.0,0.02240456863463841,0.026761668627935154,0.3768739655740296,0.16865839470999028,0.5570728595336911,0.0,0.714567773088343,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822839088184621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04107448013216562,0.11139702612897796,0.2638854033302727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.16679444032946453,0.7360167452168427,0.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034975740104975874,0.0,0.0,0.0,0.0,0.0,0.11062403384079128,0.0,1.0,0.0,0.0,0.0027971968912999,0.0,0.001396758563357775,0.0,0.05461556466872125,0.1768145718158875,0.0,0.14073850297028678,0.21984757125516613,0.7195031410908648,0.0,0.1267183548595106,0.0
13,14.0,0.4078812983285238,0.0,0.04900598703998633,0.0,0.7219634997409271,0.0,0.5745517609567246,0.0,0.0,0.0,0.0,0.8427658064232106,0.0,0.5430481832854137,0.593466054636419,0.14003445879554444,0.462519638766448,1.0,0.13233552441178534,0.0,0.006298437957341738,0.48142634052307526,0.044104609031842226,0.0,0.028706380780010563,0.2867459493665386,0.0,0.6753912996202682,0.13233172845025187,0.6578812983285144,0.0,0.4428899130270026,0.0
