,sample,TLS_3mm,TLS_Max
0,13.0,0.03361971068779881,0.045230128734033544
1,18.0,0.022020248482588486,0.04453324537673609
2,20.0,0.026776919615846335,0.02560385402425275
3,3.0,0.023670802474823914,0.012850081597458391
4,17.0,0.022853712148203822,0.055006628189961736
5,1.0,0.025220176493362122,0.05397244362313051
6,15.0,0.022842068074959528,0.022281154641529136
7,12.0,0.027792324851504374,0.02224089899196479
8,6.0,0.035091790303866006,0.016498318679575012
9,9.0,0.01787363107163063,0.017138023080681204
10,8.0,0.013162313750064034,0.010307048146953319
11,24.0,0.012067018176249495,0.021479410641647222
