1,0,PCR 1.0,
1,1,PCR 1.1,
1,2,PCR 1.2,
1,3,PCR 1.3,
1,4,PCR 1.4,
1,5,PCR 1.5,
1,6,PCR 1.6,
1,7,PCR 1.7,
2,0,PCR 2.0,
2,1,PCR 2.1,
2,2,PCR 2.2,
2,3,PCR 2.3,
2,4,PCR 2.4,
2,5,PCR 2.5,
2,6,PCR 2.6,
2,7,PCR 2.7,
3,0,PCR 3.0,f
3,1,PCR 3.1,
3,2,PCR 3.2,
3,3,PCR 3.3,
3,4,PCR 3.4,
3,5,PCR 3.5,
3,6,PCR 3.6,
3,7,PCR 3.7,
4,0,PCR 4.0,
4,1,PCR 4.1,
4,2,PCR 4.2,f
4,3,PCR 4.3,
4,4,PCR 4.4,f
4,5,PCR 4.5,r
4,6,PCR 4.6,
4,7,PCR 4.7,
5,0,PCR 5.0,
5,1,PCR 5.1,
5,2,PCR 5.2,
5,3,PCR 5.3,
5,4,PCR 5.4,
5,5,PCR 5.5,
5,6,PCR 5.6,
5,7,PCR 5.7,
6,0,PCR 6.0,
6,1,PCR 6.1,
6,2,PCR 6.2,
6,3,PCR 6.3,
6,4,PCR 6.4,
6,5,PCR 6.5,
6,6,PCR 6.6,
7,0,PCR 7.0,
7,1,PCR 7.1,
7,2,PCR 7.2,
7,3,PCR 7.3,
7,4,PCR 7.4,
7,5,PCR 7.5,
7,6,PCR 7.6,
7,7,PCR 7.7,
7,8,PCR 7.8,
8,0,PCR 8.0,
8,1,PCR 8.1,
8,2,PCR 8.2,
8,3,PCR 8.3,
8,4,PCR 8.4,
8,5,PCR 8.5,
8,6,PCR 8.6,
8,7,PCR 8.7,
9,0,PCR 9.0,
9,1,PCR 9.1,
9,2,PCR 9.2,
9,3,PCR 9.3,
9,4,PCR 9.4,
9,5,PCR 9.5,
9,6,PCR 9.6,
9,7,PCR 9.7,
10,0,PCR 10.0,
10,1,PCR 10.1,
10,2,PCR 10.2,
10,3,PCR 10.3,
10,4,PCR 10.4,
10,5,PCR 10.5,
10,6,PCR 10.6,
10,7,PCR 10.7,
10,8,PCR 10.8,r
11,0,PCR 11.0,
11,1,PCR 11.1,
11,2,PCR 11.2,
11,3,PCR 11.3,
11,4,PCR 11.4,
11,5,PCR 11.5,
11,6,PCR 11.6,
11,7,PCR 11.7,
11,8,PCR 11.8,
12,0,PCR 12.0,
12,1,PCR 12.1,
12,2,PCR 12.2,
12,3,PCR 12.3,
12,4,PCR 12.4,
12,5,PCR 12.5,
12,6,PCR 12.6,
12,7,PCR 12.7,
12,8,PCR 12.8,
13,0,PCR 13.0,
13,1,PCR 13.1,
13,2,PCR 13.2,
13,3,PCR 13.3,
13,4,PCR 13.4,
13,5,PCR 13.5,
13,6,PCR 13.6,
13,7,PCR 13.7,
14,0,PCR 14.0,
14,1,PCR 14.1,
14,2,PCR 14.2,
14,3,PCR 14.3,
14,4,PCR 14.4,
14,5,PCR 14.5,
14,6,PCR 14.6,
14,7,PCR 14.7,
15,0,PCR 15.0,
15,1,PCR 15.1,
15,2,PCR 15.2,
15,3,PCR 15.3,
15,4,PCR 15.4,
15,5,PCR 15.5,
15,6,PCR 15.6,
15,7,PCR 15.7,
16,0,V6.0,
16,1,V6.1,
16,2,V6.2,
16,3,V6.3,
16,4,V6.4,
16,5,V6.5,
16,6,V6.6,
16,7,V6.7,
17,0,V7.0,
17,1,V7.1,
17,2,V7.2,
17,3,V7.3,
17,4,V7.4,
17,5,V7.5,
